row_id,raw_json
8023,"{""sentiment_score"": 1}"
5833,"{""sentiment_score"": 1}"
2542,"{""sentiment_score"": 4}"
13482,"{""sentiment_score"": 5}"
10116,"{""sentiment_score"": 2}"
8678,"{""sentiment_score"": 1}"
1669,"{""sentiment_score"": 3}"
1713,"{""sentiment_score"": 4}"
14604,"{""sentiment_score"": 5}"
934,"{""sentiment_score"": 3}"
2168,"{""sentiment_score"": 2}"
4085,"{""sentiment_score"": 4}"
10863,"{""sentiment_score"": 1}"
6376,"{""sentiment_score"": 4}"
6983,"{""sentiment_score"": 1}"
3816,"{""sentiment_score"": 5}"
2060,"{""sentiment_score"": 2}"
6071,"{""sentiment_score"": 4}"
5479,"{""sentiment_score"": 4}"
9159,"{""sentiment_score"": 1}"
10622,"{""sentiment_score"": 2}"
12468,"{""sentiment_score"": 5}"
14536,"{""sentiment_score"": 4}"
10132,"{""sentiment_score"": 3}"
13580,"{""sentiment_score"": 5}"
380,"{""sentiment_score"": 5}"
12549,"{""sentiment_score"": 5}"
1190,"{""sentiment_score"": 1}"
11687,"{""sentiment_score"": 5}"
10965,"{""sentiment_score"": 4}"
2918,"{""sentiment_score"": 5}"
1840,"{""sentiment_score"": 1}"
1973,"{""sentiment_score"": 1}"
9477,"{""sentiment_score"": 2}"
248,"{""sentiment_score"": 1}"
6116,"{""sentiment_score"": 2}"
11155,"{""sentiment_score"": 4}"
499,"{""sentiment_score"": 2}"
3685,"{""sentiment_score"": 4}"
13320,"{""sentiment_score"": 4}"
1457,"{""sentiment_score"": 1}"
12066,"{""sentiment_score"": 5}"
13861,"{""sentiment_score"": 5}"
4231,"{""sentiment_score"": 2}"
5268,"{""sentiment_score"": 3}"
11083,"{""sentiment_score"": 2}"
6219,"{""sentiment_score"": 1}"
1758,"{""sentiment_score"": 1}"
10276,"{""sentiment_score"": 2}"
1632,"{""sentiment_score"": 2}"
12488,"{""sentiment_score"": 5}"
2949,"{""sentiment_score"": 3}"
2574,"{""sentiment_score"": 1}"
3025,"{""sentiment_score"": 1}"
3505,"{""sentiment_score"": 2}"
9526,"{""sentiment_score"": 4}"
4020,"{""sentiment_score"": 1}"
216,"{""sentiment_score"": 1}"
13493,"{""sentiment_score"": 2}"
9124,"{""sentiment_score"": 1}"
150,"{""sentiment_score"": 1}"
14307,"{""sentiment_score"": 5}"
10418,"{""sentiment_score"": 5}"
13747,"{""sentiment_score"": 4}"
3345,"{""sentiment_score"": 3}"
4039,"{""sentiment_score"": 5}"
1158,"{""sentiment_score"": 4}"
5737,"{""sentiment_score"": 2}"
2158,"{""sentiment_score"": 5}"
11549,"{""sentiment_score"": 2}"
2712,"{""sentiment_score"": 4}"
14203,"{""sentiment_score"": 3}"
6661,"{""sentiment_score"": 1}"
10869,"{""sentiment_score"": 3}"
13539,"{""sentiment_score"": 2}"
9620,"{""sentiment_score"": 2}"
7041,"{""sentiment_score"": 1}"
17,"{""sentiment_score"": 2}"
5331,"{""sentiment_score"": 3}"
7678,"{""sentiment_score"": 4}"
14402,"{""sentiment_score"": 3}"
7632,"{""sentiment_score"": 1}"
6294,"{""sentiment_score"": 4}"
4178,"{""sentiment_score"": 1}"
10876,"{""sentiment_score"": 1}"
11197,"{""sentiment_score"": 2}"
7628,"{""sentiment_score"": 2}"
13547,"{""sentiment_score"": 1}"
2896,"{""sentiment_score"": 3}"
4574,"{""sentiment_score"": 1}"
14127,"{""sentiment_score"": 4}"
13803,"{""sentiment_score"": 1}"
1380,"{""sentiment_score"": 5}"
2597,"{""sentiment_score"": 2}"
7469,"{""sentiment_score"": 5}"
8031,"{""sentiment_score"": 3}"
8214,"{""sentiment_score"": 1}"
12079,"{""sentiment_score"": 4}"
2351,"{""sentiment_score"": 1}"
13465,"{""sentiment_score"": 4}"
1349,"{""sentiment_score"": 1}"
7390,"{""sentiment_score"": 1}"
12200,"{""sentiment_score"": 5}"
9206,"{""sentiment_score"": 3}"
13474,"{""sentiment_score"": 3}"
11720,"{""sentiment_score"": 2}"
12664,"{""sentiment_score"": 5}"
13160,"{""sentiment_score"": 4}"
13581,"{""sentiment_score"": 5}"
9500,"{""sentiment_score"": 1}"
13203,"{""sentiment_score"": 2}"
9334,"{""sentiment_score"": 4}"
9443,"{""sentiment_score"": 3}"
4542,"{""sentiment_score"": 1}"
10385,"{""sentiment_score"": 5}"
11521,"{""sentiment_score"": 2}"
8319,"{""sentiment_score"": 2}"
6528,"{""sentiment_score"": 3}"
2299,"{""sentiment_score"": 5}"
7820,"{""sentiment_score"": 5}"
9233,"{""sentiment_score"": 1}"
4703,"{""sentiment_score"": 4}"
5523,"{""sentiment_score"": 1}"
9926,"{""sentiment_score"": 2}"
6181,"{""sentiment_score"": 5}"
4895,"{""sentiment_score"": 2}"
9119,"{""sentiment_score"": 3}"
13664,"{""sentiment_score"": 4}"
2587,"{""sentiment_score"": 1}"
5807,"{""sentiment_score"": 1}"
14072,"{""sentiment_score"": 3}"
3064,"{""sentiment_score"": 5}"
1000,"{""sentiment_score"": 3}"
5209,"{""sentiment_score"": 4}"
2564,"{""sentiment_score"": 5}"
5007,"{""sentiment_score"": 4}"
1028,"{""sentiment_score"": 1}"
108,"{""sentiment_score"": 1}"
6708,"{""sentiment_score"": 2}"
9740,"{""sentiment_score"": 5}"
9463,"{""sentiment_score"": 4}"
5845,"{""sentiment_score"": 2}"
947,"{""sentiment_score"": 2}"
2810,"{""sentiment_score"": 5}"
9112,"{""sentiment_score"": 5}"
6998,"{""sentiment_score"": 2}"
12901,"{""sentiment_score"": 3}"
10333,"{""sentiment_score"": 4}"
11644,"{""sentiment_score"": 2}"
942,"{""sentiment_score"": 2}"
13954,"{""sentiment_score"": 4}"
13016,"{""sentiment_score"": 4}"
3642,"{""sentiment_score"": 2}"
242,"{""sentiment_score"": 2}"
10279,"{""sentiment_score"": 3}"
7727,"{""sentiment_score"": 1}"
9631,"{""sentiment_score"": 5}"
5364,"{""sentiment_score"": 1}"
6337,"{""sentiment_score"": 2}"
2538,"{""sentiment_score"": 1}"
14767,"{""sentiment_score"": 3}"
10922,"{""sentiment_score"": 2}"
11140,"{""sentiment_score"": 3}"
4100,"{""sentiment_score"": 1}"
161,"{""sentiment_score"": 1}"
5063,"{""sentiment_score"": 1}"
3197,"{""sentiment_score"": 2}"
121,"{""sentiment_score"": 1}"
10038,"{""sentiment_score"": 3}"
4354,"{""sentiment_score"": 1}"
11472,"{""sentiment_score"": 2}"
14835,"{""sentiment_score"": 2}"
4409,"{""sentiment_score"": 2}"
1145,"{""sentiment_score"": 2}"
8522,"{""sentiment_score"": 4}"
4831,"{""sentiment_score"": 1}"
489,"{""sentiment_score"": 2}"
8942,"{""sentiment_score"": 4}"
8766,"{""sentiment_score"": 4}"
11710,"{""sentiment_score"": 5}"
12732,"{""sentiment_score"": 4}"
2899,"{""sentiment_score"": 1}"
3050,"{""sentiment_score"": 4}"
10616,"{""sentiment_score"": 4}"
676,"{""sentiment_score"": 1}"
13805,"{""sentiment_score"": 5}"
11318,"{""sentiment_score"": 5}"
6851,"{""sentiment_score"": 1}"
12225,"{""sentiment_score"": 2}"
6873,"{""sentiment_score"": 5}"
10914,"{""sentiment_score"": 2}"
274,"{""sentiment_score"": 1}"
4820,"{""sentiment_score"": 2}"
13964,"{""sentiment_score"": 3}"
12262,"{""sentiment_score"": 5}"
6777,"{""sentiment_score"": 5}"
1915,"{""sentiment_score"": 2}"
3820,"{""sentiment_score"": 1}"
6628,"{""sentiment_score"": 3}"
1699,"{""sentiment_score"": 2}"
3480,"{""sentiment_score"": 5}"
10322,"{""sentiment_score"": 5}"
2264,"{""sentiment_score"": 4}"
8876,"{""sentiment_score"": 1}"
11047,"{""sentiment_score"": 3}"
2612,"{""sentiment_score"": 1}"
2391,"{""sentiment_score"": 1}"
9432,"{""sentiment_score"": 2}"
9781,"{""sentiment_score"": 5}"
