row_id,raw_json
2,"{""overall_sentiment"": ""Positive"", ""sentiment_score"": 5, ""emotional_tone"": ""Joy"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Not_mentioned"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [], ""economic_signals"": {""price_perception"": ""Not_mentioned"", ""recommendation"": ""Not_mentioned"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""fairy tale"", ""mystical"", ""smells"", ""photo subjects"", ""history""]}"
12,"{""overall_sentiment"": ""Positive"", ""sentiment_score"": 4, ""emotional_tone"": ""Joy"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Not_mentioned"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [], ""economic_signals"": {""price_perception"": ""Not_mentioned"", ""recommendation"": ""Not_mentioned"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""beautiful square"", ""stalls"", ""full of people"", ""nice climate""]}"
15,"{""overall_sentiment"": ""Positive"", ""sentiment_score"": 4, ""emotional_tone"": ""Joy"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Not_mentioned"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [], ""economic_signals"": {""price_perception"": ""Not_mentioned"", ""recommendation"": ""Yes"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""historic center"", ""traditional markets"", ""bustle"", ""enjoy""]}"
16,"{""overall_sentiment"": ""Positive"", ""sentiment_score"": 4, ""emotional_tone"": ""Joy"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Positive"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [], ""economic_signals"": {""price_perception"": ""Cheap"", ""recommendation"": ""Yes"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""artisan stalls"", ""pottery"", ""delicious food"", ""very cheap"", ""discover""]}"
19,"{""overall_sentiment"": ""Negative"", ""sentiment_score"": 1, ""emotional_tone"": ""Anger"", ""aspects"": {""safety"": ""Negative"", ""pricing"": ""Negative"", ""service"": ""Negative"", ""cleanliness"": ""Negative"", ""atmosphere"": ""Negative""}, ""problems"": [""Scam"", ""Aggressive_vendors"", ""Safety""], ""economic_signals"": {""price_perception"": ""Expensive"", ""recommendation"": ""No"", ""revisit_intention"": ""No""}, ""keywords"": [""rotten city"", ""false guides"", ""scams"", ""dirty"", ""aggressive""]}"
21,"{""overall_sentiment"": ""Negative"", ""sentiment_score"": 2, ""emotional_tone"": ""Frustration"", ""aspects"": {""safety"": ""Negative"", ""pricing"": ""Negative"", ""service"": ""Negative"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Neutral""}, ""problems"": [""Scam"", ""High_prices"", ""Safety""], ""economic_signals"": {""price_perception"": ""Expensive"", ""recommendation"": ""No"", ""revisit_intention"": ""No""}, ""keywords"": [""scam"", ""prohibitive prices"", ""made in China"", ""unsafe"", ""bad experience""]}"
23,"{""overall_sentiment"": ""Neutral"", ""sentiment_score"": 3, ""emotional_tone"": ""Neutral"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Not_mentioned"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [], ""economic_signals"": {""price_perception"": ""Not_mentioned"", ""recommendation"": ""Yes"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""old town"", ""local crafts"", ""alleys"", ""take a guide""]}"
24,"{""overall_sentiment"": ""Neutral"", ""sentiment_score"": 3, ""emotional_tone"": ""Other"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Positive"", ""service"": ""Negative"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [""Service_issue""], ""economic_signals"": {""price_perception"": ""Cheap"", ""recommendation"": ""Yes"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""oriental charm"", ""kindness"", ""cheap food"", ""burned hair"", ""musicians""]}"
29,"{""overall_sentiment"": ""Positive"", ""sentiment_score"": 5, ""emotional_tone"": ""Joy"", ""aspects"": {""safety"": ""Not_mentioned"", ""pricing"": ""Not_mentioned"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Not_mentioned"", ""atmosphere"": ""Positive""}, ""problems"": [], ""economic_signals"": {""price_perception"": ""Not_mentioned"", ""recommendation"": ""Not_mentioned"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""special place"", ""UNESCO heritage"", ""local culture"", ""sunset"", ""suggestive""]}"
40,"{""overall_sentiment"": ""Negative"", ""sentiment_score"": 2, ""emotional_tone"": ""Frustration"", ""aspects"": {""safety"": ""Negative"", ""pricing"": ""Not_mentioned"", ""service"": ""Not_mentioned"", ""cleanliness"": ""Negative"", ""atmosphere"": ""Negative""}, ""problems"": [""Safety"", ""Bad_smell"", ""Overcrowding""], ""economic_signals"": {""price_perception"": ""Not_mentioned"", ""recommendation"": ""No"", ""revisit_intention"": ""Not_mentioned""}, ""keywords"": [""mopeds"", ""dangerous"", ""unbearable"", ""exhaust smell"", ""not relaxed""]}"
