row_id,site,rating_raw,written_date,trip_type,text_len_chars,llm_sentiment,llm_score,llm_emotion,llm_safety,llm_pricing,llm_service,llm_cleanliness,llm_atmosphere,llm_problems,llm_price_perception,llm_recommendation,llm_revisit,llm_keywords
0,medina,4 of 5 bubbles,2026-03-27,Couples,148,Positive,4,Joy,Negative,Not_mentioned,Positive,Not_mentioned,Positive,"[""Overcrowding""]",Not_mentioned,Yes,Not_mentioned,"[""great area"", ""not aggressive"", ""motorbikes""]"
1,medina,5 of 5 bubbles,2026-03-15,Friends,141,Positive,4,Joy,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Safety""]",Not_mentioned,Yes,Not_mentioned,"[""great experience"", ""mystical"", ""pickpockets""]"
2,medina,5 of 5 bubbles,2026-03-14,Friends,139,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""absolute experience"", ""fairy tale"", ""mystical"", ""history""]"
3,medina,5 of 5 bubbles,2026-03-05,Couples,84,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,[],Not_mentioned,Yes,Not_mentioned,"[""must see"", ""tourist"", ""food""]"
4,medina,3 of 5 bubbles,2026-03-03,Couples,911,Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Other (lack of variety)"", ""Scam"", ""Overcrowding""]",Not_mentioned,No,No,"[""not a fan"", ""repeating shops"", ""scams"", ""overcrowding""]"
5,medina,5 of 5 bubbles,2026-03-02,Couples,745,Negative,3,Frustration,Negative,Negative,Negative,Not_mentioned,Positive,"[""Overcrowding"", ""Scam""]",Expensive,Yes,Not_mentioned,"[""must-see"", ""traffic"", ""scam"", ""variable pricing""]"
6,medina,5 of 5 bubbles,2026-02-22,Friends,155,Positive,5,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,[],Cheap,Yes,Not_mentioned,"[""enjoyed"", ""local experience"", ""cheap"", ""delicious""]"
7,medina,5 of 5 bubbles,2026-02-19,,902,Positive,4,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,"[""Scam""]",Not_mentioned,Yes,Not_mentioned,"[""safe"", ""not pushy"", ""lively"", ""recommend""]"
8,medina,4 of 5 bubbles,2026-02-16,,119,Positive,4,Joy,Not_mentioned,Neutral,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""authentic"", ""bargaining"", ""shopkeepers"", ""must-see""]"
9,medina,1 of 5 bubbles,2026-02-08,Solo,1526,Negative,1,Anger,Negative,Negative,Negative,Negative,Negative,"[""Poor_cleanliness"", ""Scam"", ""Poor_condition""]",Expensive,No,No,"[""septic armpit"", ""scam infested"", ""grubby"", ""disappointed""]"
10,medina,5 of 5 bubbles,2026-02-07,Couples,340,Negative,3,Disgust,Not_mentioned,Not_mentioned,Negative,Negative,Neutral,"[""Poor_cleanliness"", ""Overcrowding"", ""Other (animal exploitation)""]",Not_mentioned,Yes,Not_mentioned,"[""atmospheric"", ""dirty"", ""crowded"", ""animal exploitation""]"
11,medina,4 of 5 bubbles,2026-02-04,Friends,100,Negative,2,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,"[""Bad_smell""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""bad smell"", ""unpleasant""]"
12,medina,5 of 5 bubbles,2026-01-30,,167,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""beautiful square"", ""lively"", ""nice climate""]"
13,medina,2 of 5 bubbles,2026-01-25,Friends,1019,Neutral,3,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,"[""High_prices"", ""Other (lack of authenticity)"", ""Overcrowding""]",Expensive,No,Not_mentioned,"[""bustling bazaar"", ""overpriced"", ""imported goods"", ""overcrowding""]"
14,medina,5 of 5 bubbles,2026-01-20,Friends,626,Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"[""Overcrowding"", ""Scam""]",Not_mentioned,Yes,Not_mentioned,"[""vibrant"", ""beautiful"", ""must visit"", ""crowded"", ""scam""]"
15,medina,4 of 5 bubbles,2026-01-18,Friends,228,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""historic center"", ""traditional markets"", ""bustle"", ""enjoy""]"
