part,batch_id,attempt,n_reviews,input_chars,prompt_tokens,output_tokens,thinking_tokens,total_tokens,seconds,ok,error,model_version,timestamp
EN,0,1,15,11492,3374,2865,5709,11948,34.6,True,,gemini-2.5-flash,2026-09-24T15:54:29
EN,3,1,15,7895,2503,2608,6194,11305,35.16,True,,gemini-2.5-flash,2026-09-24T15:54:29
EN,2,1,15,8028,2465,2964,7108,12537,42.85,True,,gemini-2.5-flash,2026-09-24T15:54:29
EN,1,1,15,6715,2224,2583,9925,14732,50.26,True,,gemini-2.5-flash,2026-09-24T15:54:29
EN,5,1,15,3406,1468,2580,4040,8088,28.03,True,,gemini-2.5-flash,2026-09-24T15:55:20
EN,7,1,15,4030,1650,2994,4053,8697,28.03,True,,gemini-2.5-flash,2026-09-24T15:55:20
EN,6,1,15,4438,1735,2590,5110,9435,31.81,True,,gemini-2.5-flash,2026-09-24T15:55:20
EN,4,1,15,9558,2859,2626,7483,12968,42.69,True,,gemini-2.5-flash,2026-09-24T15:55:20
EN,8,1,13,3746,1556,2276,4443,8275,28.46,True,,gemini-2.5-flash,2026-09-24T15:56:04
ORIG,1,1,15,7192,2559,2916,7291,12766,42.33,True,,gemini-2.5-flash,2026-09-24T15:56:33
ORIG,3,1,15,8229,2727,2621,7804,13152,42.56,True,,gemini-2.5-flash,2026-09-24T15:56:33
ORIG,0,1,15,12368,3857,2878,9873,16608,55.85,True,,gemini-2.5-flash,2026-09-24T15:56:33
ORIG,2,1,15,8543,2842,3051,11189,17082,59.22,True,,gemini-2.5-flash,2026-09-24T15:56:33
ORIG,6,1,15,4646,1934,2622,5262,9818,31.12,True,,gemini-2.5-flash,2026-09-24T15:57:34
ORIG,5,1,15,3636,1624,2644,5149,9417,31.38,True,,gemini-2.5-flash,2026-09-24T15:57:34
ORIG,7,1,15,4129,1790,2636,9437,13863,47.01,True,,gemini-2.5-flash,2026-09-24T15:57:34
ORIG,4,1,15,9991,3200,2968,9844,16012,51.44,True,,gemini-2.5-flash,2026-09-24T15:57:34
ORIG,8,1,13,3953,1665,2286,5125,9076,28.81,True,,gemini-2.5-flash,2026-09-24T15:58:26
EN2,1,1,15,6715,2224,2866,6156,11246,35.48,True,,gemini-2.5-flash,2026-09-24T15:58:56
EN2,0,1,15,11492,3374,2610,7128,13112,38.24,True,,gemini-2.5-flash,2026-09-24T15:58:56
EN2,3,1,15,7895,2503,2932,6832,12267,38.54,True,,gemini-2.5-flash,2026-09-24T15:58:56
EN2,2,1,15,8028,2465,3059,8433,13957,47.34,True,,gemini-2.5-flash,2026-09-24T15:58:56
EN2,6,1,15,4438,1735,1959,4904,8598,27.03,True,,gemini-2.5-flash,2026-09-24T15:59:44
EN2,5,1,15,3406,1468,2853,3809,8130,27.32,True,,gemini-2.5-flash,2026-09-24T15:59:44
EN2,7,1,15,4030,1650,3019,4644,9313,31.58,True,,gemini-2.5-flash,2026-09-24T15:59:44
EN2,4,1,15,9558,2859,2637,6649,12145,37.77,True,,gemini-2.5-flash,2026-09-24T15:59:44
EN2,8,1,13,3746,1556,2239,5671,9466,34.59,True,,gemini-2.5-flash,2026-09-24T16:00:23
